지역,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2020,17463,4628,9014,4581,3041,3591,3552,897,16116,3540,3160,4513,2586,3756,4246,5023,12338,102045
2021,37617,11163,13942,11829,4961,7204,4727,1874,34642,7550,6778,8194,5888,7565,7779,11146,21325,204184
2022,53612,19593,20210,23974,8025,13044,6301,3044,66606,11842,12316,13234,9901,12770,12555,19278,25736,332041
2023,64369,29569,24479,35275,10682,15735,8196,4379,92771,14560,15393,17954,14581,19450,16805,29267,30568,444033
2024,74116,38277,28868,48498,13051,18961,9951,5234,124529,16955,20054,22609,18717,25329,22134,37441,39059,563783
2025,87135,50122,34515,71284,16277,22387,12485,6718,166319,20398,25862,28961,22764,33094,29951,52778,47302,728352
