지역,서울_완속,서울_급속,서울_전체,경기_완속,경기_급속,경기_전체,인천_완속,인천_급속,인천_전체,강원_완속,강원_급속,강원_전체,충청_완속,충청_급속,충청_전체,전라_완속,전라_급속,전라_전체,경상_완속,경상_급속,경상_전체,제주_완속,제주_급속,제주_전체,합계_완속,합계_급속,합계_전체
2020,3268,763,4031,6220,1377,7597,915,232,1147,1039,595,1634,3498,980,4478,3716,1120,4836,5657,2027,7684,2374,933,3307,26687,8027,34714
2021,13236,1621,14857,20211,2681,22892,3326,523,3849,2295,869,3164,8678,1972,10650,7819,2061,9880,19977,3829,23806,3526,1417,4943,79068,14973,94041
2022,31880,2211,34091,46938,3649,50587,8559,819,9378,5245,1179,6424,19814,2793,22607,15176,2694,17870,40920,5162,46082,4059,1850,5909,172591,20357,192948
2023,44480,4079,48559,69930,7434,77364,14202,1287,15489,8555,1960,10515,29634,4566,34200,22824,4220,27044,58658,8788,67446,5463,2068,7531,253746,34402,288148
2024,56070,4545,60615,102272,10112,112384,20513,1836,22349,11481,2337,13818,41015,6232,47247,32713,5872,38585,79228,11345,90573,6264,2297,8561,349556,44576,394132
2025,63054,5600,68654,125418,13060,138478,26130,2389,28519,13045,2844,15889,48596,7138,55734,37996,6690,44686,95915,12820,108735,6031,2319,8350,416185,52860,469045
